Test	G-D3QN	DQN	ACO	OSPF
Test 1	0.013069069984662923	0.013161832902795845	0.013148775792113071	0.014194453019629627
Test 2	0.013046068575177549	0.013183584720568664	0.013074967305828782	0.015362469757546404
Test 3	0.01312206392311289	0.01314387253852001	0.01313917544695784	0.015309271333192709
Test 4	0.013048469571436927	0.013135275683435154	0.013187198566420325	0.014925124999999984
Test 5	0.01304875370677302	0.013121484251586036	0.013060426575654501	0.014925124999999984
Test 6	0.013094106276910511	0.013194546025657025	0.013195004771031176	0.014925124999999984
Test 7	0.0130301974619341	0.013153856296295396	0.013100352718488814	0.013651209497824945
Test 8	0.013085654946382114	0.013206245385793531	0.013146988291884997	0.014255640409495562
Test 9	0.0131357180175956	0.013192938354583256	0.013141709661757612	0.015440331367221782
Test 10	0.013074412554883693	0.013135899464695483	0.01313566318720669	0.014813197564781388
