Test	G-D3QN	DQN	ACO	OSPF
Test 1	0.00017189532476717426	0.00017383439387339914	0.0001742301780157206	0.00021140707753285385
Test 2	0.00017302085769244977	0.00017361830127261884	0.0001747492083535364	0.0002189703864063538
Test 3	0.00017347675145389338	0.00017392460602602973	0.00017447693498415028	0.00018214701450108682
Test 4	0.0001721427962848903	0.0001741890368111642	0.00017227575026755089	0.00021401748369532898
Test 5	0.0001723947655807349	0.00017248818009011417	0.00017540524797570573	0.00018048449187182248
Test 6	0.00017283660555302032	0.00017340207826686648	0.0001729922627533558	0.0002227593562656245
Test 7	0.0001713386165111294	0.000173917325582172	0.00017297792443347443	0.00020675198673086913
Test 8	0.00017330201609565344	0.0001736652092559133	0.00017346776125227022	0.00020459932086578367
Test 9	0.00017131106128199893	0.00017257047900912998	0.0001720240727963914	0.00021998872782354938
Test 10	0.00017246415872190709	0.00017441529236957482	0.00017298357485386596	0.0002227593562656245
